model,test_subject,seed,seconds,accuracy,kappa,precision,recall,f1,confusion
HCT-Net-L1,2,0,126.0,0.2743055555555556,0.03240740740740744,0.26501544755128636,0.2743055555555555,0.2642253885522997,"[[60, 41, 25, 18], [46, 50, 35, 13], [34, 21, 18, 71], [70, 33, 11, 30]]"
HCT-Net-L1,3,0,155.8,0.78125,0.7083333333333333,0.7815897815098615,0.78125,0.7805076429121071,"[[127, 10, 1, 6], [15, 115, 5, 9], [13, 13, 104, 14], [4, 0, 36, 104]]"
HCT-Net-L1,4,0,488.3,0.3472222222222222,0.12962962962962965,0.46354102540355313,0.3472222222222222,0.3399428944248257,"[[44, 3, 71, 26], [18, 22, 69, 35], [11, 2, 52, 79], [9, 3, 50, 82]]"
HCT-Net-L1,5,0,270.1,0.3454861111111111,0.12731481481481477,0.3914500442086649,0.3454861111111111,0.26919155829524893,"[[37, 103, 2, 2], [2, 136, 5, 1], [18, 101, 21, 4], [30, 85, 24, 5]]"
HCT-Net-L1,6,0,119.5,0.3194444444444444,0.09259259259259256,0.29611352358433557,0.3194444444444444,0.2963949839615572,"[[85, 11, 23, 25], [53, 21, 37, 33], [30, 25, 19, 70], [37, 18, 30, 59]]"
HCT-Net-L1,7,0,251.4,0.328125,0.10416666666666663,0.37408135888033744,0.328125,0.30144555825727926,"[[48, 66, 27, 3], [19, 95, 28, 2], [31, 71, 35, 7], [6, 17, 110, 11]]"
HCT-Net-L1,8,0,369.3,0.5642361111111112,0.4189814814814815,0.6463803633251644,0.5642361111111112,0.5333492359235215,"[[140, 3, 1, 0], [43, 84, 8, 9], [101, 18, 20, 5], [44, 15, 4, 81]]"
HCT-Net-L1,9,0,140.0,0.515625,0.35416666666666663,0.5262474813258284,0.515625,0.5144003773849286,"[[91, 49, 3, 1], [29, 52, 41, 22], [23, 19, 85, 17], [6, 1, 68, 69]]"
HCT-Net-L6,1,0,672.7,0.6788194444444444,0.5717592592592593,0.7671519716117337,0.6788194444444444,0.6267507842493912,"[[90, 50, 0, 4], [4, 140, 0, 0], [8, 14, 22, 100], [3, 1, 1, 139]]"
HCT-Net-L6,2,0,269.1,0.2881944444444444,0.05092592592592593,0.26411737835700183,0.2881944444444444,0.26119066519440665,"[[27, 75, 19, 23], [18, 82, 23, 21], [14, 36, 11, 83], [37, 50, 11, 46]]"
HCT-Net-L6,3,0,355.7,0.7517361111111112,0.6689814814814814,0.7587433833099662,0.7517361111111112,0.7490157715623971,"[[129, 5, 0, 10], [33, 101, 3, 7], [17, 21, 90, 16], [7, 4, 20, 113]]"
HCT-Net-L6,4,0,243.5,0.4079861111111111,0.21064814814814814,0.4671504524906795,0.40798611111111116,0.40836564604837,"[[75, 6, 55, 8], [37, 46, 50, 11], [34, 6, 73, 31], [27, 9, 67, 41]]"
HCT-Net-L6,5,0,460.0,0.3784722222222222,0.17129629629629628,0.3787012151949947,0.3784722222222222,0.3430200821530081,"[[55, 70, 4, 15], [17, 111, 4, 12], [33, 58, 20, 33], [33, 56, 23, 32]]"
HCT-Net-L6,6,0,190.5,0.3177083333333333,0.09027777777777779,0.3028312683485097,0.3177083333333333,0.30461843826716684,"[[64, 33, 27, 20], [41, 41, 20, 42], [23, 31, 16, 74], [40, 18, 24, 62]]"
HCT-Net-L6,7,0,368.2,0.3871527777777778,0.18287037037037035,0.4056483374665193,0.3871527777777778,0.3550440986556622,"[[92, 34, 14, 4], [37, 93, 11, 3], [30, 88, 17, 9], [12, 32, 79, 21]]"
HCT-Net-L6,8,0,474.4,0.5972222222222222,0.4629629629629629,0.6236923042778413,0.5972222222222222,0.5804842086308459,"[[128, 8, 7, 1], [20, 104, 16, 4], [42, 43, 53, 6], [20, 32, 33, 59]]"
HCT-Net-L6,9,0,244.6,0.4878472222222222,0.31712962962962965,0.5478996434748844,0.4878472222222222,0.4821330669552386,"[[78, 60, 5, 1], [27, 58, 54, 5], [14, 20, 102, 8], [6, 4, 91, 43]]"
HCT-Net-V0,1,0,224.6,0.6510416666666666,0.5347222222222222,0.7595836909991641,0.6510416666666667,0.5921653673847839,"[[134, 9, 0, 1], [46, 98, 0, 0], [17, 7, 14, 106], [15, 0, 0, 129]]"
HCT-Net-V0,2,0,115.5,0.2847222222222222,0.04629629629629628,0.274215702696882,0.2847222222222222,0.27505810153420607,"[[39, 62, 28, 15], [25, 67, 37, 15], [28, 31, 21, 64], [53, 41, 13, 37]]"
HCT-Net-V0,3,0,125.4,0.7326388888888888,0.6435185185185186,0.7325389495327645,0.7326388888888888,0.7273365080815328,"[[132, 4, 0, 8], [25, 110, 1, 8], [18, 21, 82, 23], [7, 9, 30, 98]]"
HCT-Net-V0,4,0,229.9,0.4479166666666667,0.26388888888888884,0.48044298904786475,0.44791666666666663,0.4472294155353184,"[[78, 10, 40, 16], [37, 43, 50, 14], [22, 7, 71, 44], [16, 11, 51, 66]]"
HCT-Net-V0,5,0,122.0,0.3472222222222222,0.12962962962962965,0.4419649794649795,0.3472222222222222,0.3150525955299614,"[[48, 74, 20, 2], [20, 90, 33, 1], [32, 60, 51, 1], [35, 62, 36, 11]]"
HCT-Net-V0,6,0,107.1,0.3645833333333333,0.1527777777777778,0.35961946834683345,0.36458333333333337,0.3313422856945124,"[[87, 6, 26, 25], [70, 14, 27, 33], [37, 12, 34, 61], [42, 6, 21, 75]]"
HCT-Net-V0,7,0,268.0,0.3541666666666667,0.13888888888888884,0.3997048614643166,0.3541666666666667,0.36435906273907165,"[[63, 39, 35, 7], [20, 68, 50, 6], [37, 57, 30, 20], [10, 7, 84, 43]]"
HCT-Net-V0,8,0,222.6,0.6458333333333334,0.5277777777777778,0.6597498621196801,0.6458333333333333,0.6355058481072681,"[[126, 3, 11, 4], [26, 96, 9, 13], [61, 19, 51, 13], [17, 11, 17, 99]]"
HCT-Net-V0,9,0,129.9,0.5625,0.41666666666666663,0.5684675166707532,0.5625,0.5607184738116165,"[[98, 38, 4, 4], [27, 61, 28, 28], [16, 20, 92, 16], [3, 1, 67, 73]]"
